
   INFO  Server running on [http://127.0.0.1:8001].  

  Press Ctrl+C to stop the server

  2025-04-20 13:25:00 / ..................................................................... ~ 1s
  2025-04-20 13:25:01 /admin/login .......................................................... ~ 1s
  2025-04-20 13:25:02 /build/assets/app-DbTWgVAB.css .................................... ~ 0.35ms
  2025-04-20 13:25:02 /build/assets/app-Bo-u61x1.js .................................... ~ 13.69ms
  2025-04-20 13:25:03 /favicon.ico ...................................................... ~ 0.26ms
  2025-04-20 13:25:18 /login ................................................................ ~ 2s
  2025-04-20 13:25:20 /admin/dashboard ...................................................... ~ 1s
  2025-04-20 13:25:21 /assets/js/plugin/webfont/webfont.min.js .......................... ~ 0.22ms
  2025-04-20 13:25:21 /assets/css/bootstrap.min.css ..................................... ~ 0.42ms
  2025-04-20 13:25:21 /assets/css/plugins.min.css ....................................... ~ 4.73ms
  2025-04-20 13:25:21 /assets/css/kaiadmin.min.css ..................................... ~ 16.86ms
  2025-04-20 13:25:21 /assets/img/kaiadmin/logo_light.svg .............................. ~ 19.55ms
  2025-04-20 13:25:21 /assets/css/demo.css ............................................. ~ 21.33ms
  2025-04-20 13:25:21 /assets/img/jm_denis.jpg ......................................... ~ 24.83ms
  2025-04-20 13:25:21 /assets/css/fonts.min.css ........................................ ~ 11.11ms
  2025-04-20 13:25:21 /assets/img/chadengle.jpg ........................................ ~ 21.05ms
  2025-04-20 13:25:21 /assets/img/mlane.jpg ............................................. ~ 5.10ms
  2025-04-20 13:25:21 /assets/js/core/jquery-3.7.1.min.js ............................... ~ 9.07ms
  2025-04-20 13:25:21 /assets/js/core/popper.min.js .................................... ~ 34.03ms
  2025-04-20 13:25:21 /assets/js/core/bootstrap.min.js .................................. ~ 3.58ms
  2025-04-20 13:25:21 /assets/js/plugin/jquery-scrollbar/jquery.scrollbar.min.js ........ ~ 3.23ms
  2025-04-20 13:25:21 /assets/js/plugin/chart.js/chart.min.js ........................... ~ 4.60ms
  2025-04-20 13:25:21 /assets/js/plugin/jquery.sparkline/jquery.sparkline.min.js ....... ~ 10.87ms
  2025-04-20 13:25:21 /assets/js/plugin/chart-circle/circles.min.js .................... ~ 13.09ms
  2025-04-20 13:25:21 /assets/js/plugin/datatables/datatables.min.js ................... ~ 12.26ms
  2025-04-20 13:25:21 /assets/js/plugin/bootstrap-notify/bootstrap-notify.min.js ........ ~ 2.30ms
  2025-04-20 13:25:21 /assets/js/plugin/jsvectormap/jsvectormap.min.js .................. ~ 4.52ms
  2025-04-20 13:25:21 /assets/js/plugin/jsvectormap/world.js .......................... ~ 705.40ms
  2025-04-20 13:25:21 /assets/js/plugin/sweetalert/sweetalert.min.js .................. ~ 709.59ms
  2025-04-20 13:25:21 /assets/js/kaiadmin.min.js ...................................... ~ 718.15ms
  2025-04-20 13:25:21 /assets/js/setting-demo.js ....................................... ~ 39.17ms
  2025-04-20 13:25:21 /assets/js/demo.js ............................................... ~ 46.13ms
  2025-04-20 13:25:21 /assets/img/talha.jpg ............................................. ~ 7.51ms
  2025-04-20 13:25:21 /assets/img/profile2.jpg .......................................... ~ 9.96ms
  2025-04-20 13:25:21 /assets/img/profile.jpg .......................................... ~ 16.57ms
  2025-04-20 13:25:22 /assets/fonts/simple-line-icons/Simple-Line-Icons.woff2?v=2.4.0 ... ~ 0.79ms
  2025-04-20 13:25:22 /assets/fonts/fontawesome/fa-solid-900.woff2 ...................... ~ 1.90ms
  2025-04-20 13:25:22 /assets/fonts/fontawesome/fa-regular-400.woff2 .................... ~ 0.27ms
  2025-04-20 13:25:22 /assets/fonts/fontawesome/fa-brands-400.woff2 ..................... ~ 1.57ms
  2025-04-20 13:25:23 /assets/img/kaiadmin/favicon.ico .................................. ~ 0.23ms
  2025-04-20 13:26:09 /admin/admin/tenants .................................................. ~ 1s
  2025-04-20 13:26:11 /assets/js/plugin/webfont/webfont.min.js .......................... ~ 0.28ms
  2025-04-20 13:26:11 /assets/css/bootstrap.min.css ..................................... ~ 4.88ms
  2025-04-20 13:26:11 /assets/css/plugins.min.css ....................................... ~ 2.24ms
  2025-04-20 13:26:11 /assets/css/kaiadmin.min.css ...................................... ~ 0.17ms
  2025-04-20 13:26:11 /assets/css/demo.css .............................................. ~ 0.37ms
  2025-04-20 13:26:11 /assets/img/kaiadmin/logo_light.svg ............................... ~ 3.39ms
  2025-04-20 13:26:11 /assets/img/jm_denis.jpg .......................................... ~ 7.25ms
  2025-04-20 13:26:11 /assets/img/chadengle.jpg ......................................... ~ 0.28ms
  2025-04-20 13:26:11 /assets/img/mlane.jpg ............................................. ~ 0.62ms
  2025-04-20 13:26:11 /assets/css/fonts.min.css ......................................... ~ 0.46ms
  2025-04-20 13:26:11 /assets/js/core/jquery-3.7.1.min.js ............................... ~ 1.92ms
  2025-04-20 13:26:11 /assets/js/core/popper.min.js ..................................... ~ 3.78ms
  2025-04-20 13:26:11 /assets/js/core/bootstrap.min.js .................................. ~ 0.22ms
  2025-04-20 13:26:11 /assets/fonts/fontawesome/fa-solid-900.woff2 ...................... ~ 0.15ms
  2025-04-20 13:26:11 /assets/fonts/fontawesome/fa-regular-400.woff2 .................... ~ 0.23ms
  2025-04-20 13:26:11 /assets/js/plugin/jquery-scrollbar/jquery.scrollbar.min.js ........ ~ 0.30ms
  2025-04-20 13:26:11 /assets/js/plugin/chart.js/chart.min.js ........................... ~ 0.27ms
  2025-04-20 13:26:11 /assets/fonts/fontawesome/fa-brands-400.woff2 ..................... ~ 0.20ms
  2025-04-20 13:26:11 /assets/fonts/simple-line-icons/Simple-Line-Icons.woff2?v=2.4.0 ... ~ 0.19ms
  2025-04-20 13:26:11 /assets/js/plugin/jquery.sparkline/jquery.sparkline.min.js ........ ~ 0.99ms
  2025-04-20 13:26:11 /assets/js/plugin/chart-circle/circles.min.js ..................... ~ 0.17ms
  2025-04-20 13:26:11 /assets/js/plugin/datatables/datatables.min.js .................... ~ 0.16ms
  2025-04-20 13:26:11 /assets/js/plugin/bootstrap-notify/bootstrap-notify.min.js ........ ~ 0.27ms
  2025-04-20 13:26:11 /assets/js/plugin/jsvectormap/jsvectormap.min.js .................. ~ 0.93ms
  2025-04-20 13:26:11 /assets/js/plugin/jsvectormap/world.js ............................ ~ 0.24ms
  2025-04-20 13:26:11 /assets/js/plugin/sweetalert/sweetalert.min.js .................... ~ 0.26ms
  2025-04-20 13:26:11 /assets/js/kaiadmin.min.js ........................................ ~ 0.26ms
  2025-04-20 13:26:11 /assets/js/setting-demo.js ........................................ ~ 2.70ms
  2025-04-20 13:26:11 /assets/js/demo.js ................................................ ~ 0.29ms
  2025-04-20 13:26:11 /assets/img/talha.jpg ............................................ ~ 13.12ms
  2025-04-20 13:26:11 /assets/img/profile2.jpg .......................................... ~ 0.47ms
  2025-04-20 13:26:11 /assets/img/profile.jpg ........................................... ~ 0.25ms
  2025-04-20 13:26:12 /assets/img/kaiadmin/favicon.ico .................................. ~ 0.54ms
  2025-04-20 13:26:31 /admin/admin/tenants .................................................. ~ 1s
  2025-04-20 13:26:32 /assets/css/bootstrap.min.css ..................................... ~ 0.49ms
  2025-04-20 13:26:32 /assets/js/plugin/webfont/webfont.min.js .......................... ~ 2.47ms
  2025-04-20 13:26:32 /assets/css/plugins.min.css ....................................... ~ 4.32ms
  2025-04-20 13:26:32 /assets/css/demo.css .............................................. ~ 6.37ms
  2025-04-20 13:26:32 /assets/img/kaiadmin/logo_light.svg .............................. ~ 14.37ms
  2025-04-20 13:26:32 /assets/css/kaiadmin.min.css ..................................... ~ 16.14ms
  2025-04-20 13:26:32 /assets/img/jm_denis.jpg .......................................... ~ 0.22ms
  2025-04-20 13:26:32 /assets/img/chadengle.jpg ......................................... ~ 0.15ms
  2025-04-20 13:26:32 /assets/img/mlane.jpg ............................................. ~ 0.38ms
  2025-04-20 13:26:32 /assets/js/core/jquery-3.7.1.min.js ............................... ~ 3.40ms
  2025-04-20 13:26:32 /assets/css/fonts.min.css ......................................... ~ 2.19ms
  2025-04-20 13:26:32 /assets/js/core/popper.min.js ..................................... ~ 0.26ms
  2025-04-20 13:26:32 /assets/js/core/bootstrap.min.js .................................. ~ 2.64ms
  2025-04-20 13:26:32 /assets/js/plugin/jquery-scrollbar/jquery.scrollbar.min.js ........ ~ 3.18ms
  2025-04-20 13:26:32 /assets/js/plugin/chart.js/chart.min.js ........................... ~ 8.26ms
  2025-04-20 13:26:32 /assets/js/plugin/jquery.sparkline/jquery.sparkline.min.js ....... ~ 10.03ms
  2025-04-20 13:26:32 /assets/js/plugin/chart-circle/circles.min.js .................... ~ 10.74ms
  2025-04-20 13:26:32 /assets/js/plugin/datatables/datatables.min.js ................... ~ 11.92ms
  2025-04-20 13:26:32 /assets/js/plugin/bootstrap-notify/bootstrap-notify.min.js ........ ~ 0.24ms
  2025-04-20 13:26:32 /assets/js/plugin/jsvectormap/jsvectormap.min.js .................. ~ 1.60ms
  2025-04-20 13:26:32 /assets/js/plugin/jsvectormap/world.js ............................ ~ 1.92ms
  2025-04-20 13:26:32 /assets/js/plugin/sweetalert/sweetalert.min.js .................... ~ 5.05ms
  2025-04-20 13:26:32 /assets/js/kaiadmin.min.js ....................................... ~ 13.30ms
  2025-04-20 13:26:32 /assets/js/setting-demo.js ....................................... ~ 14.37ms
  2025-04-20 13:26:32 /assets/js/demo.js ............................................... ~ 16.79ms
  2025-04-20 13:26:32 /assets/img/talha.jpg ............................................ ~ 20.30ms
