
   INFO  Server running on [http://127.0.0.1:8001].  

  Press Ctrl+C to stop the server

  2025-04-22 23:02:28 / ............................................................... ~ 1s
  2025-04-22 23:02:29 /admin/login .............................................. ~ 493.86ms
  2025-04-22 23:02:29 / ............................................................... ~ 1s
  2025-04-22 23:02:30 /admin/login .................................................... ~ 1s
  2025-04-22 23:02:30 /build/assets/app-DbTWgVAB.css .................................. ~ 1s
  2025-04-22 23:02:31 /build/assets/app-DbTWgVAB.css .............................. ~ 0.19ms
  2025-04-22 23:02:31 /build/assets/app-Bo-u61x1.js ............................... ~ 1.45ms
  2025-04-22 23:02:32 /favicon.ico ................................................ ~ 3.57ms
  2025-04-22 23:02:44 /login .......................................................... ~ 2s
  2025-04-22 23:02:46 /admin/dashboard ................................................ ~ 1s
  2025-04-22 23:02:47 /assets/js/plugin/webfont/webfont.min.js .................... ~ 0.50ms
  2025-04-22 23:02:47 /assets/css/bootstrap.min.css ............................... ~ 1.89ms
  2025-04-22 23:02:47 /assets/css/plugins.min.css ................................. ~ 3.89ms
  2025-04-22 23:02:47 /assets/css/kaiadmin.min.css ................................ ~ 0.21ms
  2025-04-22 23:02:47 /assets/css/demo.css ........................................ ~ 0.35ms
  2025-04-22 23:02:47 /assets/img/kaiadmin/logo_light.svg ......................... ~ 3.66ms
  2025-04-22 23:02:47 /assets/img/jm_denis.jpg .................................... ~ 6.28ms
  2025-04-22 23:02:47 /assets/css/fonts.min.css ................................... ~ 0.40ms
  2025-04-22 23:02:47 /assets/img/chadengle.jpg ................................... ~ 5.63ms
  2025-04-22 23:02:47 /assets/img/mlane.jpg ....................................... ~ 1.41ms
  2025-04-22 23:02:47 /assets/js/core/jquery-3.7.1.min.js ......................... ~ 0.21ms
  2025-04-22 23:02:47 /assets/js/core/popper.min.js ............................... ~ 1.00ms
  2025-04-22 23:02:47 /assets/js/core/bootstrap.min.js ............................ ~ 0.22ms
  2025-04-22 23:02:47 /assets/fonts/fontawesome/fa-solid-900.woff2 ................ ~ 0.19ms
  2025-04-22 23:02:47 /assets/fonts/fontawesome/fa-regular-400.woff2 .............. ~ 0.42ms
