
   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server

  2025-04-22 23:02:28 / ............................................................... ~ 3s
  2025-04-22 23:02:28 /tenant/login ................................................... ~ 4s
  2025-04-22 23:02:33 /build/assets/app-DbTWgVAB.css .............................. ~ 0.20ms
  2025-04-22 23:02:33 /build/assets/app-Bo-u61x1.js ............................... ~ 1.50ms
  2025-04-22 23:02:34 /favicon.ico ................................................ ~ 0.46ms
  2025-04-22 23:02:35 /tenant/register ................................................ ~ 7s
  2025-04-22 23:02:43 /favicon.ico ................................................... ~ 33s
  2025-04-22 23:03:18 /tenant/login ................................................... ~ 1s
  2025-04-22 23:03:19 /build/assets/app-DbTWgVAB.css .............................. ~ 0.25ms
  2025-04-22 23:03:19 /build/assets/app-Bo-u61x1.js ............................... ~ 0.22ms
  2025-04-22 23:03:20 /favicon.ico ................................................ ~ 0.45ms
  2025-04-22 23:04:13 /tenant/login ................................................... ~ 3s
  2025-04-22 23:04:17 /favicon.ico .................................................... ~ 4s
  2025-04-22 23:04:21 /tenant/login .................................................. ~ 27s
  2025-04-22 23:04:48 .............................................................. ~ 1m 4s
  PHP Fatal error:  Trait "Laravel\Sanctum\HasApiTokens" not found in C:\GITHUB_REPOSITORIES\Pageant_Multi_Tenant\app\Models\TenantUser.php on line 12
  2025-04-22 23:05:53 /tenant/login ................................................... ~ 2s
  2025-04-22 23:05:53 /favicon.ico .................................................... ~ 7s
  2025-04-22 23:06:00 ............................................................. ~ 3m 28s
  2025-04-22 23:09:29 /tenant/login ................................................... ~ 1s
  2025-04-22 23:09:29 /build/assets/app-DbTWgVAB.css .................................. ~ 1s
  2025-04-22 23:09:30 /build/assets/app-Bo-u61x1.js .............................. ~ 12.80ms
  2025-04-22 23:09:31 /favicon.ico ................................................ ~ 0.30ms
  2025-04-22 23:09:39 /tenant/login ................................................... ~ 2s
  2025-04-22 23:09:39 /casisang-pageant/dashboard .................................... ~ 10s
  2025-04-22 23:11:19 /casisang-pageant/dashboard ..................................... ~ 2s
  2025-04-22 23:11:19 .............................................................. ~ 1m 7s
  PHP Fatal error:  Maximum execution time of 60 seconds exceeded in C:\GITHUB_REPOSITORIES\Pageant_Multi_Tenant\storage\framework\views\fe7790d6c8886a85c22feecc086b80a3.php on line 1
  2025-04-22 23:12:27 /casisang-pageant/dashboard ................................. ~ 1m 10s
  2025-04-22 23:13:37 / ............................................................... ~ 3s
  2025-04-22 23:13:37 ................................................................. ~ 3s
  2025-04-22 23:13:41 /tenant/login ................................................... ~ 8s
  2025-04-22 23:13:41 /favicon.ico .................................................... ~ 8s
  2025-04-22 23:13:49 /build/assets/app-DbTWgVAB.css ............................ ~ 512.99ms
  2025-04-22 23:13:49 /build/assets/app-Bo-u61x1.js ............................. ~ 522.00ms
  2025-04-22 23:13:50 /favicon.ico ................................................ ~ 0.20ms
  2025-04-22 23:13:50 /favicon.ico ................................................ ~ 0.27ms
  2025-04-22 23:13:51 /tenant/login ................................................... ~ 1s
  2025-04-22 23:13:51 /build/assets/app-DbTWgVAB.css .............................. ~ 0.25ms
  2025-04-22 23:13:51 /build/assets/app-Bo-u61x1.js ............................... ~ 0.21ms
  2025-04-22 23:13:52 /favicon.ico ................................................ ~ 0.21ms
  2025-04-22 23:13:58 /tenant/login ................................................... ~ 6s
  2025-04-22 23:14:05 /casisang-pageant/dashboard ..................................... ~ 2s
  2025-04-22 23:14:07 /assets/css/demo.css ...................................... ~ 511.03ms
  2025-04-22 23:14:07 /assets/js/plugin/webfont/webfont.min.js .................. ~ 512.61ms
  2025-04-22 23:14:07 /assets/img/kaiadmin/logo_light.svg ....................... ~ 513.57ms
  2025-04-22 23:14:07 /assets/css/plugins.min.css ............................... ~ 514.98ms
  2025-04-22 23:14:07 /assets/css/bootstrap.min.css ............................. ~ 516.65ms
  2025-04-22 23:14:07 /assets/css/kaiadmin.min.css .............................. ~ 519.08ms
  2025-04-22 23:14:07 /assets/img/jm_denis.jpg .................................... ~ 0.19ms
  2025-04-22 23:14:08 /assets/img/chadengle.jpg ................................... ~ 0.19ms
  2025-04-22 23:14:08 /assets/css/fonts.min.css ....................................... ~ 1s
  2025-04-22 23:14:08 /assets/js/core/jquery-3.7.1.min.js ............................. ~ 1s
  2025-04-22 23:14:08 /assets/js/plugin/jquery-scrollbar/jquery.scrollbar.min.js ...... ~ 1s
  2025-04-22 23:14:08 /assets/js/core/bootstrap.min.js ................................ ~ 1s
  2025-04-22 23:14:08 /assets/js/core/popper.min.js ................................... ~ 1s
  2025-04-22 23:14:08 /assets/img/mlane.jpg ........................................... ~ 1s
  2025-04-22 23:14:08 /assets/img/profile.jpg ..................................... ~ 0.15ms
  2025-04-22 23:14:08 /assets/js/plugin/chart.js/chart.min.js ................... ~ 519.56ms
  2025-04-22 23:14:08 /assets/js/plugin/jquery.sparkline/jquery.sparkline.min.js  ~ 521.10ms
  2025-04-22 23:14:08 /assets/js/plugin/chart-circle/circles.min.js ............. ~ 521.18ms
  2025-04-22 23:14:08 /assets/js/plugin/datatables/datatables.min.js ............ ~ 523.39ms
  2025-04-22 23:14:08 /assets/js/plugin/bootstrap-notify/bootstrap-notify.min.js  ~ 525.70ms
  2025-04-22 23:14:08 /assets/js/plugin/jsvectormap/jsvectormap.min.js .......... ~ 526.18ms
  2025-04-22 23:14:09 /assets/fonts/simple-line-icons/Simple-Line-Icons.woff2?v=2.4.0  ~ 0.77ms
  2025-04-22 23:14:09 /assets/fonts/fontawesome/fa-solid-900.woff2 ................ ~ 1.33ms
  2025-04-22 23:14:09 /assets/fonts/fontawesome/fa-regular-400.woff2 ............ ~ 519.16ms
  2025-04-22 23:14:09 /assets/fonts/fontawesome/fa-brands-400.woff2 ............. ~ 520.34ms
  2025-04-22 23:14:09 /assets/js/plugin/sweetalert/sweetalert.min.js ............ ~ 521.76ms
  2025-04-22 23:14:09 /assets/js/plugin/jsvectormap/world.js .................... ~ 522.08ms
  2025-04-22 23:14:09 /assets/js/kaiadmin.min.js ................................ ~ 520.47ms
  2025-04-22 23:14:09 /assets/js/setting-demo.js .................................. ~ 9.06ms
  2025-04-22 23:14:09 /assets/js/demo.js ......................................... ~ 11.49ms
  2025-04-22 23:14:09 /assets/img/talha.jpg ...................................... ~ 12.74ms
  2025-04-22 23:14:09 /assets/img/profile2.jpg ................................... ~ 13.68ms
  2025-04-22 23:14:10 /assets/img/kaiadmin/favicon.ico ............................ ~ 0.30ms
  2025-04-22 23:14:11 /tenant/login ................................................... ~ 2s
  2025-04-22 23:14:13 /casisang-pageant/dashboard ..................................... ~ 1s
  2025-04-22 23:14:14 /assets/js/plugin/webfont/webfont.min.js .................... ~ 0.20ms
  2025-04-22 23:14:14 /assets/css/bootstrap.min.css ............................... ~ 0.23ms
  2025-04-22 23:14:14 /assets/css/plugins.min.css ................................ ~ 10.55ms
  2025-04-22 23:14:14 /assets/css/kaiadmin.min.css ................................ ~ 0.29ms
  2025-04-22 23:14:14 /assets/css/demo.css ........................................ ~ 0.32ms
  2025-04-22 23:14:14 /assets/img/kaiadmin/logo_light.svg ......................... ~ 0.27ms
  2025-04-22 23:14:14 /assets/img/jm_denis.jpg .................................... ~ 4.27ms
  2025-04-22 23:14:14 /assets/css/fonts.min.css ................................... ~ 0.50ms
